target,N,smtp_code,message_bytes,delivered,final_received,bounce
PF37,0,250,220,yes,2,no
PF37,5,250,805,yes,7,no
PF37,10,250,1390,yes,12,no
PF37,15,250,1975,yes,17,no
PF37,20,250,2560,yes,22,no
PF37,25,250,3145,yes,27,no
PF37,30,250,3730,yes,32,no
PF37,35,250,4315,yes,37,no
PF37,40,250,4900,yes,42,no
PF37,44,250,5368,yes,46,no
PF37,45,250,5485,yes,47,no
PF37,46,250,5602,yes,48,no
PF37,47,250,5719,yes,49,no
PF37,48,250,5836,yes,50,no
PF37,49,554,5953,no,-,no
PF37,50,554,6070,no,-,no
PF37,51,554,6187,no,-,no
PF37,52,554,6304,no,-,no
PF37,53,554,6421,no,-,no
PF37,54,554,6538,no,-,no
PF37,55,554,6655,no,-,no
PF37,60,554,7240,no,-,no
PF37,70,554,8410,no,-,no
PF37,80,554,9580,no,-,no
PF37,100,554,11920,no,-,no
PF37,120,554,14260,no,-,no
PF11,0,250,220,yes,2,no
PF11,5,250,805,yes,7,no
PF11,10,250,1390,yes,12,no
PF11,15,250,1975,yes,17,no
PF11,20,250,2560,yes,22,no
PF11,25,250,3145,yes,27,no
PF11,30,250,3730,yes,32,no
PF11,35,250,4315,yes,37,no
PF11,40,250,4900,yes,42,no
PF11,44,250,5368,yes,46,no
PF11,45,250,5485,yes,47,no
PF11,46,250,5602,yes,48,no
PF11,47,250,5719,yes,49,no
PF11,48,250,5836,yes,50,no
PF11,49,554,5953,no,-,no
PF11,50,554,6070,no,-,no
PF11,51,554,6187,no,-,no
PF11,52,554,6304,no,-,no
PF11,53,554,6421,no,-,no
PF11,54,554,6538,no,-,no
PF11,55,554,6655,no,-,no
PF11,60,554,7240,no,-,no
PF11,70,554,8410,no,-,no
PF11,80,554,9580,no,-,no
PF11,100,554,11920,no,-,no
PF11,120,554,14260,no,-,no
EXIM,0,250,220,yes,2,no
EXIM,5,250,805,yes,7,no
EXIM,10,250,1390,yes,12,no
EXIM,15,250,1975,yes,17,no
EXIM,20,250,2560,yes,22,no
EXIM,25,250,3145,yes,27,no
EXIM,30,250,3730,no,-,yes
EXIM,35,250,4315,no,-,yes
EXIM,40,250,4900,no,-,yes
EXIM,44,250,5368,no,-,yes
EXIM,45,250,5485,no,-,yes
EXIM,46,250,5602,no,-,yes
EXIM,47,250,5719,no,-,yes
EXIM,48,250,5836,no,-,yes
EXIM,49,250,5953,no,-,yes
EXIM,50,250,6070,no,-,yes
EXIM,51,250,6187,no,-,yes
EXIM,52,250,6304,no,-,yes
EXIM,53,250,6421,no,-,yes
EXIM,54,250,6538,no,-,yes
EXIM,55,250,6655,no,-,yes
EXIM,60,250,7240,no,-,yes
EXIM,70,250,8410,no,-,yes
EXIM,80,250,9580,no,-,yes
EXIM,100,250,11920,no,-,yes
EXIM,120,250,14260,no,-,yes
OSMTPD,0,250,226,yes,2,no
OSMTPD,5,250,821,yes,7,no
OSMTPD,10,250,1416,yes,12,no
OSMTPD,15,250,2011,yes,17,no
OSMTPD,20,250,2606,yes,22,no
OSMTPD,25,250,3201,yes,27,no
OSMTPD,30,250,3796,yes,32,no
OSMTPD,35,250,4391,yes,37,no
OSMTPD,40,250,4986,yes,42,no
OSMTPD,44,250,5462,yes,46,no
OSMTPD,45,250,5581,yes,47,no
OSMTPD,46,250,5700,yes,48,no
OSMTPD,47,250,5819,yes,49,no
OSMTPD,48,250,5938,yes,50,no
OSMTPD,49,250,6057,yes,51,no
OSMTPD,50,250,6176,yes,52,no
OSMTPD,51,250,6295,yes,53,no
OSMTPD,52,250,6414,yes,54,no
OSMTPD,53,250,6533,yes,55,no
OSMTPD,54,250,6652,yes,56,no
OSMTPD,55,250,6771,yes,57,no
OSMTPD,60,250,7366,yes,62,no
OSMTPD,70,250,8556,yes,72,no
OSMTPD,80,250,9746,yes,82,no
OSMTPD,100,500,12126,no,-,no
OSMTPD,120,500,14506,no,-,no
MAILPIT,0,250,229,yes,1,no
MAILPIT,5,250,829,yes,6,no
MAILPIT,10,250,1429,yes,11,no
MAILPIT,15,250,2029,yes,16,no
MAILPIT,20,250,2629,yes,21,no
MAILPIT,25,250,3229,yes,26,no
MAILPIT,30,250,3829,yes,31,no
MAILPIT,35,250,4429,yes,36,no
MAILPIT,40,250,5029,yes,41,no
MAILPIT,44,250,5509,yes,45,no
MAILPIT,45,250,5629,yes,46,no
MAILPIT,46,250,5749,yes,47,no
MAILPIT,47,250,5869,yes,48,no
MAILPIT,48,250,5989,yes,49,no
MAILPIT,49,250,6109,yes,50,no
MAILPIT,50,250,6229,yes,51,no
MAILPIT,51,250,6349,yes,52,no
MAILPIT,52,250,6469,yes,53,no
MAILPIT,53,250,6589,yes,54,no
MAILPIT,54,250,6709,yes,55,no
MAILPIT,55,250,6829,yes,56,no
MAILPIT,60,250,7429,yes,61,no
MAILPIT,70,250,8629,yes,71,no
MAILPIT,80,250,9829,yes,81,no
MAILPIT,100,250,12229,yes,101,no
MAILPIT,120,250,14629,yes,121,no
