target,N,smtp_code,message_bytes,stored_bytes,delivered,final_received,bounce
PF37,1,250,92974,93426,yes,3,no
PF37,2,250,185728,186180,yes,4,no
PF37,3,250,278482,278934,yes,5,no
PF37,5,250,463990,464442,yes,7,no
PF37,10,250,927760,928212,yes,12,no
PF37,20,250,1855300,1855752,yes,22,no
PF37,40,250,3710380,3710832,yes,42,no
PF37,60,554,5565460,0,no,-,no
PF37,80,554,7420540,0,no,-,no
PF37,100,554,9275620,0,no,-,no
PF37,120,552,11130700,0,no,-,no
PF11,1,250,92974,93430,yes,3,no
PF11,2,250,185728,186184,yes,4,no
PF11,3,250,278482,278938,yes,5,no
PF11,5,250,463990,464446,yes,7,no
PF11,10,250,927760,928216,yes,12,no
PF11,20,250,1855300,1855756,yes,22,no
PF11,40,250,3710380,3710836,yes,42,no
PF11,60,554,5565460,0,no,-,no
PF11,80,554,7420540,0,no,-,no
PF11,100,554,9275620,0,no,-,no
PF11,120,552,11130700,0,no,-,no
EXIM,1,250,92974,93431,yes,3,no
EXIM,2,250,185728,186185,yes,4,no
EXIM,3,250,278482,278939,yes,5,no
EXIM,5,250,463990,464447,yes,7,no
EXIM,10,250,927760,928217,yes,12,no
EXIM,20,552,1855300,0,no,-,no
EXIM,40,552,3710380,0,no,-,no
EXIM,60,552,5565460,0,no,-,no
EXIM,80,552,7420540,0,no,-,no
EXIM,100,552,9275620,0,no,-,no
EXIM,120,552,11130700,0,no,-,no
OSMTPD,1,250,92982,93437,yes,3,no
OSMTPD,2,250,185738,186193,yes,4,no
OSMTPD,3,250,278494,278949,yes,5,no
OSMTPD,5,250,464006,464461,yes,7,no
OSMTPD,10,250,927786,928241,yes,12,no
OSMTPD,20,250,1855346,1855801,yes,22,no
OSMTPD,40,250,3710466,3710921,yes,42,no
OSMTPD,60,250,5565586,5566041,yes,62,no
OSMTPD,80,250,7420706,7421161,yes,82,no
OSMTPD,100,500,9275826,0,no,-,no
OSMTPD,120,500,11130946,0,no,-,no
MAILPIT,1,250,92986,93231,yes,2,no
MAILPIT,2,250,185743,185988,yes,3,no
MAILPIT,3,250,278500,278745,yes,4,no
MAILPIT,5,250,464014,464259,yes,6,no
MAILPIT,10,250,927799,928044,yes,11,no
MAILPIT,20,250,1855369,1855614,yes,21,no
MAILPIT,40,250,3710509,3710754,yes,41,no
MAILPIT,60,250,5565649,5565894,yes,61,no
MAILPIT,80,250,7420789,7421034,yes,81,no
MAILPIT,100,250,9275929,9276174,yes,101,no
MAILPIT,120,250,11131069,11131314,yes,121,no
