target,variant,N,smtp_code,delivered,final_received_exact,py_received,node_received,go_received
PF37,rEcEiVeD,100,554,no,-,-,-,-
PF37,received_sp,100,554,no,-,-,-,-
PF37,received_tab,100,554,no,-,-,-,-
PF37,utf8,100,250,yes,2,2,2,2
PF37,xreceived,100,250,yes,2,2,2,2
PF37,resent,100,250,yes,2,-,-,-
PF11,rEcEiVeD,100,554,no,-,-,-,-
PF11,received_sp,100,554,no,-,-,-,-
PF11,received_tab,100,554,no,-,-,-,-
PF11,utf8,100,250,yes,2,2,2,2
PF11,xreceived,100,250,yes,2,2,2,2
PF11,resent,100,250,yes,2,-,-,-
EXIM,rEcEiVeD,100,250,no,-,-,-,-
EXIM,received_sp,100,250,no,-,-,-,-
EXIM,received_tab,100,250,no,-,-,-,-
EXIM,utf8,100,250,yes,2,2,2,2
EXIM,xreceived,100,250,yes,2,2,2,2
EXIM,resent,100,250,yes,2,-,-,-
OSMTPD,rEcEiVeD,100,500,no,-,-,-,-
OSMTPD,received_sp,100,250,yes,2,2,102,2
OSMTPD,received_tab,100,250,yes,2,2,102,2
OSMTPD,utf8,100,250,yes,2,2,2,2
OSMTPD,xreceived,100,250,yes,2,2,2,2
OSMTPD,resent,100,250,yes,2,-,-,-
