knob,value,target,N,smtp_code,delivered,notes
hopcount_limit,100,postfix1,98,250 2.0.0 Ok: queued as 8E0C32CC1F5,DELIVERED: yes received_count=100 BOUNCE: no ,
hopcount_limit,100,postfix1,99,554 5.4.0 Error: too many hops,DELIVERED: no BOUNCE: no ,
hopcount_limit,100,postfix1,100,554 5.4.0 Error: too many hops,DELIVERED: no BOUNCE: no ,
hopcount_limit,100,postfix1,101,554 5.4.0 Error: too many hops,DELIVERED: no BOUNCE: no ,
hopcount_limit,100,postfix1,102,554 5.4.0 Error: too many hops,DELIVERED: no BOUNCE: no ,
received_headers_max,60,exim,29,250 OK id=1x2qDB-00000E-0x,DELIVERED: yes received_count=31 BOUNCE: no ,
received_headers_max,60,exim,58,250 OK id=1x2qDC-00000H-14,DELIVERED: yes received_count=60 BOUNCE: no ,
received_headers_max,60,exim,59,250 OK id=1x2qDD-00000K-1W,DELIVERED: yes received_count=61 BOUNCE: no ,
received_headers_max,60,exim,60,250 OK id=1x2qDE-00000N-2A,DELIVERED: no BOUNCE: yes ,
received_headers_max,60,exim,61,250 OK id=1x2qDN-00000S-36,DELIVERED: no BOUNCE: yes ,
received_headers_max,60,exim,62,250 OK id=1x2qDW-00000X-2K,DELIVERED: no BOUNCE: yes ,
header_maxsize,4M,exim,fold40,250 OK id=1x2qDj-00000E-1a,DELIVERED: no BOUNCE: yes ,
header_maxsize,4M,exim,fold45,250 OK id=1x2qDs-00000J-2t,DELIVERED: no BOUNCE: yes ,
header_maxsize,4M,exim,fold50,552 Message header is ridiculously long,DELIVERED: no BOUNCE: no ,
