case_id,mta,version,policy,smtp_final_code,reject_node,raw_bytes,raw_sha256,header_section_bytes,header_end_offset,logical_header_count,received_exact,received_ci,from_in_header,to_in_header,subject_in_header,message_id_in_header,x_case_id_in_header,mime_error_in_header,malformed_in_header,received_in_body,normalized,notes
V001,postfix,3.7.11,default,250,-,1051,b0676a5bef19b2a390950791651bc53172ec30e30f055d59da4a37f0c118c6bc,1022,1022,10,4,4,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as BB7401F544D;bounce=no"
V002,postfix,3.7.11,default,250,-,6065,33cfd4c11fe434786fa288424c6ce8f963a045215cb3f87c6a4b9a408bd29eb2,6036,6036,56,50,50,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as 14B1C1F544D;bounce=no"
V003,postfix,3.7.11,default,250,postfix3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"250 2.0.0 Ok: queued as 6B0B81F544D;bounce=yes"
V004,postfix,3.7.11,default,250,-,6065,81a886915d767ea60b817ce4f16aa2319cc65d7e5e41ddae1c77cf15db77df88,6036,6036,56,4,50,1,1,1,1,1,0,0,0,-,"250 2.0.0 Ok: queued as 4606A1F544D;bounce=no"
V005,postfix,3.7.11,default,250,-,1481,5d362936e56d866a8b72ca9e9d52972e6f12d24fa4ff66fe7ddb03c8d21ad63c,1452,1452,15,9,9,1,1,1,1,1,0,0,0,yes,"250 2.0.0 Ok: queued as 6C8A51F544D;bounce=no"
V006,postfix,3.7.11,default,250,-,1481,f9475eaec6bf3b2300f94bec10ea9ed0258bbe33a0fe2d6ee185177b8c5b6875,1452,1452,15,9,9,1,1,1,1,1,0,0,0,yes,"250 2.0.0 Ok: queued as B57031F544D;bounce=no"
V007,postfix,3.7.11,default,250,-,1214,20e3252dfbb8134f3c8fa4be5dc4a18b1c4a48c2ea3cb43044e7eb268fc51093,953,953,8,4,4,0,0,0,1,1,0,0,1,-,"250 2.0.0 Ok: queued as 499751F544D;bounce=no"
V008,postfix,3.7.11,default,250,-,5477,f626aa5264eebc11b3439e2ec2d71f388164297933e31dc2c526ce822b90ed42,953,953,8,4,4,0,0,0,1,1,0,0,50,-,"250 2.0.0 Ok: queued as 37FC51F544D;bounce=no"
V009,postfix,3.7.11,default,250,-,1160,b95bdadfaf1174d2c6d4183343726f4311a828b7dd0ed244e44834808e706857,948,948,8,4,4,0,0,0,1,1,0,0,0,-,"250 2.0.0 Ok: queued as 8C5C5ADE5;bounce=no"
V010,postfix,3.7.11,default,250,-,3596,bf947d497359970f6e624f62ade335c19ec7f5e7b9a4ce4eb735bbcfe9f9a232,3567,3567,60,4,4,1,1,51,1,1,0,0,0,-,"250 2.0.0 Ok: queued as DF069ADE5;bounce=no"
