case_id,parser,version,parse_error,defects,header_entries,received_count,from_present,subject_present,message_id_present,from_in_body,subject_in_body
V001,go-net-mail,go1.19.8,,,5,0,True,True,True,False,False
V001,node-mailparser,3.9.20,,,5,0,True,True,True,False,False
V001,python-email,3.11.2,,,5,0,True,True,True,False,False
V002,go-net-mail,go1.19.8,,,51,46,True,True,True,False,False
V002,node-mailparser,3.9.20,,,51,46,True,True,True,False,False
V002,python-email,3.11.2,,,51,46,True,True,True,False,False
V003,go-net-mail,go1.19.8,,,52,47,True,True,True,False,False
V003,node-mailparser,3.9.20,,,52,47,True,True,True,False,False
V003,python-email,3.11.2,,,52,47,True,True,True,False,False
V004,go-net-mail,go1.19.8,,,51,46,True,True,True,False,False
V004,node-mailparser,3.9.20,,,51,46,True,True,True,False,False
V004,python-email,3.11.2,,,51,46,True,True,True,False,False
V005,go-net-mail,go1.19.8,,,10,0,True,True,True,False,False
V005,node-mailparser,3.9.20,,,10,5,True,True,True,False,False
V005,python-email,3.11.2,,MissingHeaderBodySeparatorDefect,1,0,False,False,False,True,True
V006,go-net-mail,go1.19.8,,,10,0,True,True,True,False,False
V006,node-mailparser,3.9.20,,,10,5,True,True,True,False,False
V006,python-email,3.11.2,,MissingHeaderBodySeparatorDefect,1,0,False,False,False,True,True
V007,go-net-mail,go1.19.8,,,6,0,True,True,True,False,False
V007,node-mailparser,3.9.20,,,6,0,True,True,True,False,False
V007,python-email,3.11.2,,MissingHeaderBodySeparatorDefect,1,0,False,False,False,True,True
V008,go-net-mail,go1.19.8,,,55,0,True,True,True,False,False
V008,node-mailparser,3.9.20,,,55,0,True,True,True,False,False
V008,python-email,3.11.2,,MissingHeaderBodySeparatorDefect,1,0,False,False,False,True,True
V009,go-net-mail,go1.19.8,"malformed MIME header: missing colon: ""BROKEN_HEADER this line has no colon""",,0,0,False,False,False,False,False
V009,node-mailparser,3.9.20,,,6,0,True,True,True,False,False
V009,python-email,3.11.2,,MissingHeaderBodySeparatorDefect,1,0,False,False,False,True,True
V010,go-net-mail,go1.19.8,,,55,0,True,True,True,False,False
V010,node-mailparser,3.9.20,,,55,0,True,True,True,False,False
V010,python-email,3.11.2,,,55,0,True,True,True,False,False
V011,go-net-mail,go1.19.8,,,6,1,True,True,True,False,False
V011,node-mailparser,3.9.20,,,6,1,True,True,True,False,False
V011,python-email,3.11.2,,,6,1,True,True,True,False,False
V012,go-net-mail,go1.19.8,,,6,1,True,True,True,False,False
V012,node-mailparser,3.9.20,,,6,1,True,True,True,False,False
V012,python-email,3.11.2,,,6,1,True,True,True,False,False
